Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"XL6009 Step Up Down Buck Boost Converter Module","power supply for esp32",1.50,1,1.50,"https://quartzcomponents.com/products/xl6009-step-up-down-buck-boost-converter-module?_pos=4&_sid=666e76809&_ss=r","quartzcomponents.com"
"12V 300RPM Geared DC Motor","motor to drive the car",1.57,4,6.28,"https://quartzcomponents.com/products/12v-300rpm-geared-dc-motor?variant=44881938972906","quartzcomponents.com"
"USB to micro-USB Cable","programing/power cable for esp",0.28,2,0.56,"https://quartzcomponents.com/products/raspberry-pi-cable-for-charging?_pos=2&_psq=micro+usb&_ss=e&_v=1.0","quartzcomponents.com"
"L293D Motor Driver Module","Motor Driver to controll motors",0.75,1,0.75,"https://quartzcomponents.com/products/l293d-motor-driver-module?variant=31898009927815","quartzcomponents.com"
"18650 Li-ion 2500mAh Rechargeable Battery Copy","battery to power the car",0.53,3,1.59,"https://quartzcomponents.com/products/18650-li-ion-2500mah-rechargeable-battery?variant=37862622036152","quartzcomponents.com"
"3 Cell 18650 Lithium Battery Holder","battert to power the car",0.30,1,0.30,"https://quartzcomponents.com/products/3-cell-18650-lithium-battery-holder?variant=44216406802666","quartzcomponents.com"
"Lithium Battery Capacity Indicator - Battery Level Indicator / Voltmeter","Battery %age Indicator",0.74,1,0.74,"https://quartzcomponents.com/products/1s-18650-li-po-lithium-battery-capacity-indicator-module?variant=42987409539306","quartzcomponents.com"
"Dual Axis XY Joystick Module","Joystick for remote controller",0.35,1,0.35,"https://quartzcomponents.com/products/dual-axis-xy-joystick-module?variant=31898099449991","quartzcomponents.com"
"Male to Female Connecting Wires / Jumper Wires (Set of 10)","wiring",0.13,3,0.39,"https://quartzcomponents.com/products/male-to-female-connecting-wires-jumper-wires-set-of-10?variant=32115365216391","quartzcomponents.com"
"Male to Male Connecting Wires / Jumper wires (Set of 10)","wiring",0.15,3,0.45,"https://quartzcomponents.com/products/male-to-male-jumper-wire-set?variant=31898123894919","quartzcomponents.com"
"Female to Female Connecting Wires / Jumper Wires (Set of 10)","wiring",0.13,1,0.13,"https://quartzcomponents.com/products/female-to-female-connecting-wires-jumper-wires-set-of-10?variant=32116354285703","quartzcomponents.com"
"Small Breadboard / Mini Solderless Board - 400 points","wiring the car",0.37,1,0.37,"https://quartzcomponents.com/products/small-breadboard-mini-solderless-board?variant=33254289539207","quartzcomponents.com"
"170 points Mini Breadboard - Solderless breadboard","wiring the remote",0.15,1,0.15,"https://quartzcomponents.com/products/syb-170-mini-solderless-prototype-experiment-test-breadboard-1?variant=35140715413657","quartzcomponents.com"
"Robot Car Wheel 70mm x 40mm for BO Motors","wheel for the car",0.48,4,1.92,"https://quartzcomponents.com/products/robot-car-wheel-70mm-x-40mm-for-bo-motors?variant=44188075393258","quartzcomponents.com"
"ESP32 30 Pin CP2102 Development Board with Wi-Fi and Bluetooth","one esp for controlling the car one for the remote",3.74,2,7.48,"https://quartzcomponents.com/products/esp32-30-pin-development-board-with-wi-fi-and-bluetooth?variant=45080070455530","quartzcomponents.com"
